stock_id,策略排名,K線圖,名稱,產業分類,評級,總分,收盤價,乖離率,cash_dividend,平均殖利率,平均填息天數,price_date,年線(240MA),平均ROA,本業獲利比,殖利率評分,填息能見度評分,ROA評分,評級分數
6771,82,,平和環保-創,綠能環保,Superior,6,44.3,-0.1635229279844537,3.7399999999999998,5.372452309570068,456.25,2026-02-02,52.96020833333333,9.871972423067177,105.43832827079781,3,0,3,2
6294,83,,智基,文化創意業,Superior,6,44.5,-0.16111270387985374,7.7,6.500664150815713,174.0,2026-02-02,53.046458333333334,13.765322309990859,96.23109655330244,3,0,3,2
3032,84,,偉訓,電子零組件業,Superior,6,71.8,-0.1585403370331125,2.66870736,5.039606727561686,130.6,2026-02-02,85.32791666666667,5.362072602725289,68.97100532651778,3,0,3,2
6150,85,,撼訊,電腦及週邊設備業,Superior,6,59.8,-0.15338422151697137,5.75,8.061534519364521,3.0,2026-02-02,70.63416666666667,,18.231999210383457,3,3,0,2
6703,86,,軒郁,生技醫療業,Superior,6,103.5,-0.15305670155818474,6.70940868,4.248481506275124,98.0,2026-02-02,122.20416666666667,15.65686485510092,100.24182337290661,2,1,3,2
3546,87,,宇峻,文化創意業,Superior,6,74.2,-0.1516121655613994,4.65611552,5.385157493944126,148.5,2026-02-02,87.46,13.156627350151533,113.72720001733751,3,0,3,2
3312,88,,弘憶股,電子通路業,Superior,7,38.45,-0.14763910441143863,1.65,5.989187252948317,33.75,2026-02-02,45.11,4.07867126852339,136.30860457839395,3,2,2,2
4536,89,,拓凱,運動休閒,Superior,6,156.5,-0.14703244047281105,8.3,4.7241921137559135,69.8,2026-02-02,183.47708333333333,9.999351405904035,92.15991169770196,2,1,3,2
8435,90,,鉅邁,其他,Superior,6,53.2,-0.14651265391248547,3.9200000000000004,5.736131798051317,385.3333333333333,2026-02-02,62.3325,12.442357440486074,94.42521485872548,3,0,3,2
4974,91,,亞泰,電子零組件業,Superior,7,72.8,-0.14467822630388608,4.65,6.679736111968063,89.2,2026-02-02,85.11416666666668,10.657845119877589,88.46882584196851,3,1,3,2
6263,92,,普萊德,通信網路業,Superior,7,122.0,-0.14443502907401454,6.08,5.138619912997649,60.5,2026-02-02,142.59583333333333,19.831686733955216,95.87278057411145,3,1,3,2
3168,93,,眾福科,電子工業,Superior,7,39.3,-0.14217503012664565,3.2186652179999995,5.961355064812345,62.0,2026-02-02,45.813541666666666,8.597633064371138,101.86640641447761,3,1,3,2
8426,94,,紅木-KY,其他,Superior,6,27.5,-0.13940919137062122,2.5,6.371916508538899,1.0,2026-02-02,31.954791666666665,2.27783132132591,-66.88967850067286,3,3,0,2
2615,95,,萬海,航運業,Superior,7,73.5,-0.13902500927354022,4.3,4.473625662773796,57.333333333333336,2026-02-02,85.36833333333334,14.29884490659056,72.80626911422725,2,2,3,2
6281,96,,全國電,電子工業,Superior,6,60.4,-0.13873210147941295,4.7,5.496284258082632,210.66666666666666,2026-02-02,70.12916666666666,5.872564321332238,99.35790138464021,3,0,3,2
1102,97,,亞泥,水泥工業,Superior,6,34.6,-0.13738566776259417,2.692416998,5.940910352059338,93.75,2026-02-02,40.110625000000006,4.999833831366555,69.32112225914057,3,1,2,2
3596,98,,智易,電子工業,Superior,6,177.5,-0.13638436977345295,5.8442274339999996,4.1426867557933145,85.0,2026-02-02,205.53125,5.42170655758607,94.97017512669814,2,1,3,2
5244,99,,弘凱,電子工業,Superior,6,37.5,-0.1340325218897335,1.83998089,4.529579081775006,117.4,2026-02-02,43.30416666666667,9.184199692024956,90.41453803538546,2,1,3,2
2376,100,,技嘉,電腦及週邊設備業,Superior,7,227.5,-0.13327142414934395,7.711588653999999,4.9180690311053015,35.2,2026-02-02,262.48125,9.264329020871502,81.49214517416752,2,2,3,2
1540,101,,喬福,電機機械,Superior,7,24.0,-0.1325954370905805,1.1,4.0781420121126954,11.0,2026-02-02,27.66875,4.8371391675963835,56.193468958564665,2,3,2,2
3479,102,,安勤,電腦及週邊設備業,Superior,6,88.6,-0.12928468181464542,4.258756978,4.797192018331182,87.2,2026-02-02,101.75541666666666,8.880408012350017,92.50947289040144,2,1,3,2
8442,103,,威宏-KY,其他,Superior,7,69.1,-0.12884976020255415,4.403250865,4.783566615474637,21.5,2026-02-02,79.32041666666667,4.739269443490457,89.25000308322964,2,3,2,2
3646,104,,艾恩特,電子零組件業,Superior,7,24.65,-0.12834000044201824,1.5640214799999999,5.400991303244429,105.5,2026-02-02,28.279374999999998,6.957267368239541,84.95348702060758,3,1,3,2
6292,105,,迅德,電子零組件業,Superior,6,40.7,-0.12779873652253493,3.34,6.429536643560328,173.33333333333334,2026-02-02,46.66354166666667,8.548234933116477,71.23544406693466,3,0,3,2
1457,106,,宜進,紡織纖維,Superior,6,15.05,-0.12575183647783517,0.9199999999999999,4.795446590200383,54.6,2026-02-02,17.214791666666667,3.9376482979707084,104.16223600190376,2,2,2,2
6582,107,,申豐,橡膠工業,Superior,7,32.7,-0.1257220201525085,6.875,6.56975954239035,88.0,2026-02-02,37.40229166666667,14.111122541376137,49.55292872489535,3,1,3,2
6278,108,,台表科,光電業,Superior,7,91.4,-0.12405611216042993,5.36,5.198443669357186,63.0,2026-02-02,104.34458333333333,5.539660097155183,96.97752224586404,3,1,3,2
5009,109,,榮剛,鋼鐵工業,Superior,7,33.6,-0.11984282907662072,1.8538859859999999,4.66519173715181,20.0,2026-02-02,38.175,4.311797409878873,92.54659111173592,2,3,2,2
6462,110,,神盾,半導體業,Superior,6,107.0,-0.11945329296351286,9.266012986666667,7.765745661492083,383.3333333333333,2026-02-02,121.51541666666667,7.663320155684091,37.951557077769316,3,0,3,2
3088,111,,艾訊,電腦及週邊設備業,Superior,6,81.4,-0.11636995223621348,3.3443098919999996,4.349171553130789,74.5,2026-02-02,92.11999999999999,9.20935959334853,94.9622509054982,2,1,3,2
